Для информации;ID;Название;;Теги (Безопасность);Ссылка;Предоплата;Цена Взр;Цена Дет;Описание (Витрина);Честный обзор;Важная информация;Ключевые слова;Дни выезда;Гид;Питание;Что взять с собой
Море (Острова);1;Симиланы, Стандарт, Спидбот;;#нельзя_беременным #дети_от_1_года #проблемы_спины #скорость #снорклинг #бюджетно #пляж #активно;https://goldenkeytours.com/sea-excursions/similan-standard;50%;2900;2700;"Классика жанра! Доступный билет в рай. Вы увидите знаменитую скалу ""Парус"", искупаетесь в лазурной воде и погуляете по пляжам с открытки.";Хорошая базовая программа для тех, кто хочет сэкономить. Красота та же, что и в VIP-туре, но будьте готовы к тому, что на пляже будет многолюдно.;Трансфер включен (возможна доплата в зависимости от района). Беременным запрещено. Детям до 1 года запрещено. Людям с проблемами спины запрещено. Скоростная лодка.;симиланы, стандарт, спидбот, speed boat, similan, беременным нельзя, нельзя детям до 1 года, спина, трясет, волны;Ежедневно;Русский;Обед, фрукты, напитки;Коралловые тапочки, Пляжные вещи, Крем SPF 50+, Камеру
Море (Острова);2;Симиланы, Катамаран;ХИТ;#нельзя_беременным #дети_от_1_года #комфорт #релакс #фото #нет_волн #плавный_ход #семейный;https://goldenkeytours.com/excursions/sea-excursions/similans-on-a-catamaran;50%;3500;3200;Путешествие первым классом. Двухпалубный катамаран идет мягко, как лайнер, удобные зоны для загара.;Идеальный выбор, если вас укачивает на обычных лодках или вы любите поспать (выезд в стандартное время).;Трансфер включен (возможна доплата в зависимости от района). Беременным запрещено. Детям до 1 года запрещено. Плавный ход.;симиланы, катамаран, комфорт, similan, беременным нельзя, нельзя детям до 1 года, плавная лодка, не укачивает;Ежедневно;Русский;Обед, фрукты, напитки;Коралловые тапочки, Пляжные вещи, Крем SPF 50+, Камеру
Море (Острова);3;"Симиланы ""Ранний выезд"", Стандарт, Спидбот";;#нельзя_беременным #дети_от_1_года #ранний_выезд #без_толп #проблемы_спины #эксклюзив #утомительно_детям;https://goldenkeytours.com/sea-excursions/similan-early;50%;3100;2900;Хитрый ход: платим как за стандарт, а получаем пустые пляжи! Скоростной катер доставит вас на острова первыми.;Золотая середина. Да, это обычный спидбот (может потрясти), зато вы выигрываете у толпы несколько часов тишины и красоты.;Трансфер включен (возможна доплата в зависимости от района). Беременным запрещено. Детям до 1 года запрещено. Выезд в 5:00.;симиланы, ранние, спидбот, similan early, беременным нельзя, нельзя детям до 1 года, скорость, волны;Ср, Вс;Русский;Завтрак, Обед, Ужин;Пляжные вещи
Море (Острова);4;Симиланы Ранний выезд, Комфорт+, Спидбот;ХИТ;#нельзя_беременным #дети_от_1_года #ранний_выезд #без_толп #проблемы_спины #эксклюзив #утомительно_детям #комфорт_плюс;https://goldenkeytours.com/sea-excursions/similan-early;50%;3400;3200;Максимум сервиса на скорости! Улучшенная лодка, маленькая группа и рассвет на райских островах.;Вы быстрее катамарана, но комфортнее обычного катера. В цену включены приятные мелочи: от полотенец до бокала вина на закате.;Комфортная посадка, индивидуальные места. Бесплатный Wi-Fi и музыка на лодке. Бесплатные одноразовые загубники для снорклинга. Бесплатные пляжные полотенца и ласты. Пиво, мороженное и бокал вина по возвращению. Трансфер включен. Беременным запрещено. Детям до 1 года запрещено. Выезд в 5:00.;симиланы, ранние, спидбот, similan early, беременным нельзя, нельзя детям до 1 года, скорость, волны;Ежедневно;Русский;Завтрак, Обед, Ужин;Пляжные вещи
Море (Острова);5;Суринские острова, 1 день;;#нельзя_беременным #дети_от_1_года #снорклинг #рифы #акулы #далеко #дикая_природа;https://goldenkeytours.com/excursions/sea-excursions/surin-islands-1-day;50%;3200;2800;"Мекка для фанатов снорклинга! Здесь самые живые кораллы, рыбки ""Немо"" и аутентичная деревня морских цыган.";Сюда едут не лежать на песке, а смотреть под воду (подводный мир тут богаче, чем на Симиланах). Готовьтесь к долгой дороге, но оно того стоит.;Трансфер включен (возможна доплата в зависимости от района). Беременным запрещено. Детям до 1 года запрещено. Дальняя дорога. Живые кораллы.;сурины, сурин, беременным нельзя, нельзя детям до 1 года, спидбот, далеко;Ежедневно;Русский (кроме воскресенья);Обед, фрукты, напитки;Пляжные вещи
Море (Острова);6;Суринские острова, 2 дня, палатки/бунгало;;#нельзя_беременным #дети_от_1_года #романтика #палатки #звезды #пляж #полное_единение;https://goldenkeytours.com/excursions/sea-excursions/surin-islands-2-days;50%;6700 / 8700;5400 / 6500;Полная Робинзонада! Останьтесь на ночь в Национальном парке, чтобы увидеть звездное небо без засветки городов.;Это цифровой детокс. Электричество по часам, связи почти нет, только джунгли и океан. Для тех, кто устал от цивилизации.;Трансфер включен (возможна доплата в зависимости от района). Стоимость зависит от размещения - палатка/бунгало. Беременным запрещено. Детям до 1 года запрещено. Ночевка в палатках на пляже.;сурины, ночевка, беременным нельзя, нельзя детям до 1 года, спидбот;Ежедневно;Русский (кроме воскресенья);Полный пансион;Пляжные вещи, предметы личной гигиены
Море (Острова);7;Суринские острова, 3 дня, палатки/бунгало;;#нельзя_беременным #дети_от_1_года #экспедиция #палатки #снорклинг #для_фанатов;https://goldenkeytours.com/excursions/sea-excursions/surin-islands-3-days;50%;8200 / 9900;6500 / 7900;Большая экспедиция для настоящих исследователей. Три дня в раю, чтобы изучить каждый риф и тропу.;Максимальное погружение. Туристы-однодневки уезжают, и остров становится полностью вашим.;Трансфер включен (возможна доплата в зависимости от района). Стоимость зависит от размещения - палатка/бунгало. Беременным запрещено. Детям до 1 года запрещено. Настоящая экспедиция.;сурины, 3 дня, беременным нельзя, нельзя детям до 1 года, спидбот;Ежедневно;Русский (кроме воскресенья);Полный пансион;Пляжные вещи, личные вещи на 3 дня
Море (Острова);8;Рассвет на Рача, Стандарт (рыбалка);ХИТ;#нельзя_беременным #дети_от_1_года #ранний_выезд #без_толп #мальдивы #белый_песок #релакс #рыбалка #снорклинг;https://goldenkeytours.com/excursions/sea-excursions/sunriseonracha;50%;1500;1300;Райский остров всего в 30 минутах от Пхукета! Белейший песок и лучший снорклинг без толп.;Отличная альтернатива Симиланам, если не хотите долго плыть. Мы приезжаем первыми, когда вода еще прозрачная, а пляж пустой.;Рыбалка. Снорклинг. Трансфер включен (возможна доплата в зависимости от района). Беременным запрещено. Детям до 1 года запрещено. Вода бирюзовая, без толп.;рача, райя, рассвет, беременным нельзя, нельзя детям до 1 года, спидбот, волны, рыбалка, снорклинг.;Вт;Русский;Легкий завтрак, Обед;Пляжные вещи
Море (Острова);9;Рассвет на Рача, Комфорт+ (рыбалка);;#нельзя_беременным #дети_от_1_года #ранний_выезд #без_толп #мальдивы #белый_песок #релакс #рыбалка #снорклинг;https://goldenkeytours.com/excursions/sea-excursions/sunriseonracha;50%;1700;1500;Премиум-версия для ценителей. Маленькая группа, отличный сервис и никаких толп.;Включены качественные ласты и полотенца, а на обратном пути угощают вином. Мелочи, которые делают отдых приятным.;Маленькие группы до 24–38 человек. Бесплатный Wi-Fi на лодке. Бесплатные одноразовые загубники. Бесплатные полотенца. Мороженое и вино по возвращению на пирс. Рыбалка. Снорклинг. Трансфер включен. Беременным запрещено. Детям до 1 года запрещено. Вода бирюзовая, без толп.;рача, райя, рассвет, беременным нельзя, нельзя детям до 1 года, спидбот, волны, рыбалка, снорклинг.;Вт;Русский;Легкий завтрак, Обед, вода, фрукты;Коралловые тапочки, Пляжные вещи, Крем SPF 50+, Камеру
Море (Острова);10;Корал + Рача, Стандарт;;#нельзя_беременным #дети_от_1_года #снорклинг #рыбки #бирюзовая_вода #два_острова #активно #дайвинг #коралловый_остров;https://goldenkeytours.com/excursions/sea-excursions/coral-racha;50%;1300;1100;Два хита в одном флаконе! Рыбки и кораллы на острове Рача плюс пляжный релакс на Корале.;Самый сбалансированный тур. На Рача смотрим подводный мир, на Корале — загораем, катаемся на бананах и кормим птиц-носорогов.;Дайвинг за доплату (2200 THB). Трансфер включен (возможна доплата в зависимости от района). Беременным запрещено. Детям до 1 года запрещено. Снорклинг.;корал, рача, райя, беременным нельзя, нельзя детям до 1 года, спидбот, трясет, дайвинг, коралловый остров.;Ежедневно;Русский;Обед, Фрукты, Вода;Маска (если есть своя, но выдают), Пляжные вещи
